credit_card_number,transaction_amount,premium_amount,fraud_label,commission_amount
1523809042611635,2792.302288673447,7470980.992376281,0,373549.0496188141
1566644413142286,7618.042797937841,13416036.643568218,0,670801.8322
2113164382590023,4552.424440260346,18060125.56978845,0,903006.2784894225
1473600017247252,7789.434513856294,20428694.514610045,0,1021434.7257305023
5739335117215865,747.1249598874139,33988063.86949893,1,1699403.1934749465
5294495278986454,4926.954817366504,2843454.803970112,1,142172.7401985056
9603998287386058,432.77464181449807,1743288.4842610587,0,87164.42421305295
9365459559542132,720.2667142080097,19601609.04156601,1,980080.4520783005
1752491768769383,9073.730788109668,34861212.96997764,1,1743060.648498882
2194720963371138,1478.5291740641921,9679832.794394564,0,483991.6397197282
2414612145732916,5370.964754524649,32078809.01800002,0,1603940.4509000012
4381005651339607,4169.846465746995,12998808.61563557,0,649940.4307817785
8588743091649949,3538.6989299625425,44305444.57958768,0,2215272.228979384
8840776334805377,9008.350122303997,44785540.31388816,1,2239277.015694408
4400514553353147,316.0516280773461,14871387.34202351,0,743569.3671011756
6516338387960992,6671.517893138332,11507387.760622393,1,575369.3880311197
1793622389017913,9637.604899,20571085.56,0,1028554.278179545
7315685014608124,5645.665016272235,12034173.943155635,1,601708.6971577818
6615115787791192,9374.542374,33622468.326152265,0,1681123.4163076133
4938659063013850,617.3530049316353,41304973.58056879,0,2065248.6790284396
1673151941691902,4246.053858834198,33657875.62425174,1,1682893.781212587
7155792142190591,2675.5621305243067,41219278.85799498,1,2060963.9428997491
3812396012309179,7335.127553309225,19855638.18875163,1,992781.9094375815
3783753987876622,9814.841195922741,7824285.365735955,0,391214.26828679774
1282287114681277,2639.6476181980534,36900167.86040563,1,1845008.3930202816
1363588817423293,6576.328554593338,18030120.51202628,1,901506.0256
9393888157468523,2061.1665643214274,33566828.553204335,1,1678341.4276602168
2370227639387379,5696.769520258938,13539490.659668466,1,676974.5329834233
3387312331572728,4692.9316182145285,4070669.4439855665,1,203533.47219927833
2174840457629156,9722.852763352217,49629163.95643329,1,2481458.1978216646
3268510158365318,6124.419999695019,7818513.381450658,1,390925.6690725329
3102354066533192,3560.113083659506,49421165.488234416,1,2471058.2744117207
3032610509673745,1229.5482703905404,48864223.83,1,2443211.1914498354
3860396431286872,1597.343604475852,39692967.01,0,1984648.3507181453
6534097844971533,2330.6376065172276,32974553.87447906,0,1648727.693723953
6384245672060921,2584.5699472689503,28894574.442051724,1,1444728.7221025862
8647137799495001,8521.098972627264,43306416.25343796,0,2165320.812671898
1292694422969217,5656.105603996997,14479081.685758201,0,723954.0842879101
3785420470638683,5281.570022606228,23389383.812119003,1,1169469.1906059503
4893846054951867,1236.211831505253,30973304.568631433,1,1548665.2284315717
9415415510810027,8615.382964159406,20565411.88871586,1,1028270.594435793
2101697049707271,7255.861601763989,21380047.839972496,1,1069002.391998625
4852337301004322,769.9167828100157,16520930.528429199,1,826046.5264
3595729589439568,7107.567463,28215948.516059957,1,1410797.425802998
9839674838058545,5481.028351692196,42530220.655475646,0,2126511.0327737825
8616762671488387,909.0809228931047,10084403.61653558,1,504220.1808
4461268725236733,4637.1763511336985,46722307.60728454,0,2336115.380364227
1894475077134901,4898.493242587465,34457491.81,1,1722874.5905437001
6968602525388547,1741.167948,41165427.901874706,1,2058271.3950937353
6241599697364444,9462.411655302794,27813972.724574283,0,1390698.6362287141
7388982218750353,8514.756177658553,38978039.90418893,1,1948901.9952094466
5251645892564523,6723.321139558172,819857.8629999658,1,40992.893149998294
